ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
GAB,Gabon,total,Sanitation,2016,2.04655,41092.36377,Open defecation
GAB,Gabon,total,Drinking water,2016,3.38924,68052.03017,Surface water
GAB,Gabon,total,Sanitation,2016,20.81711,417983.00521,Unimproved
GAB,Gabon,total,Drinking water,2016,4.67403,93849.02997,Unimproved
GEO,Georgia,total,Sanitation,2016,49.94544,2005537.81644,Basic service
GEO,Georgia,total,Drinking water,2016,31.009,1245152.90894,Basic service
GEO,Georgia,total,Sanitation,2016,1.4117,56686.18864,Limited service
GEO,Georgia,total,Drinking water,2016,0.38974,15649.80706,Limited service
GEO,Georgia,total,Sanitation,2016,0.00473,189.84133,Open defecation
GEO,Georgia,total,Sanitation,2016,36.49444,1465418.69738,Safely managed service
GEO,Georgia,total,Drinking water,2016,65.43858,2627658.0654,Safely managed service
GEO,Georgia,total,Drinking water,2016,0.04626,1857.75018,Surface water
GEO,Georgia,total,Sanitation,2016,12.14369,487624.45622,Unimproved
GEO,Georgia,total,Drinking water,2016,3.11642,125138.46838,Unimproved
GNQ,Equatorial Guinea,total,Sanitation,2016,66.24854,805039.70476,At least basic
GNQ,Equatorial Guinea,total,Drinking water,2016,64.42552,782886.70067,At least basic
GNQ,Equatorial Guinea,total,Sanitation,2016,9.85338,119736.38036,Limited service
GNQ,Equatorial Guinea,total,Drinking water,2016,2.94662,35806.80668,Limited service
GNQ,Equatorial Guinea,total,Sanitation,2016,2.85959,34749.21602,Open defecation
GNQ,Equatorial Guinea,total,Drinking water,2016,6.44658,78337.6459,Surface water
GNQ,Equatorial Guinea,total,Sanitation,2016,21.03849,255655.69331,Unimproved
GNQ,Equatorial Guinea,total,Drinking water,2016,26.18127,318149.86077,Unimproved
GRD,Grenada,total,Sanitation,2016,91.49389,100883.90666,At least basic
GRD,Grenada,total,Drinking water,2016,8.51338,9387.1105,Basic service
GRD,Grenada,total,Sanitation,2016,2.21296,2440.07298,Limited service
GRD,Grenada,total,Drinking water,2016,1.16148,1280.68444,Limited service
GRD,Grenada,total,Sanitation,2016,3.5411,3904.51856,Open defecation
